M,R,P,L,S,G,K,T,I,F,A,C,Q,V,Y,N,E,D,H,W,U,Mass
2,11,5,20,18,12,10,13,14,7,14,7,9,18,7,5,13,6,5,4,0,22377
2,15,22,23,19,15,1,10,2,5,24,5,15,10,3,3,13,5,3,5,0,21537
3,6,5,20,32,14,17,10,10,5,11,4,8,12,8,6,12,13,3,1,0,21782
6,7,13,4,11,13,40,4,4,10,15,3,2,8,6,7,31,13,1,2,0,22980
6,15,16,19,19,15,15,11,2,6,7,11,11,7,3,3,18,8,1,7,0,22759
5,4,7,18,11,9,23,13,12,13,11,2,10,7,6,10,20,14,2,3,0,23130
5,10,6,23,15,14,18,15,13,8,5,3,9,15,2,9,13,9,5,3,0,22615
5,9,3,15,11,17,21,15,18,11,10,4,4,10,4,10,13,14,3,3,0,22541
4,8,13,18,11,7,14,12,13,6,21,2,9,14,6,10,16,10,2,4,0,22407
4,10,10,24,18,8,9,9,11,3,19,3,13,6,6,8,19,16,4,0,0,22221
7,9,7,17,13,11,12,13,9,9,11,4,8,10,6,14,16,10,11,3,0,22972
5,16,7,13,13,14,16,7,12,11,16,3,6,13,8,9,14,12,3,2,0,22799
7,5,13,23,23,14,6,12,15,12,19,6,5,14,4,5,5,2,1,9,0,21740
5,17,15,7,9,28,22,3,1,2,10,2,14,6,3,4,31,17,3,1,0,22298
5,15,11,21,9,9,14,8,9,10,11,11,9,8,10,9,14,8,5,4,0,23532
4,6,18,22,20,16,8,18,9,5,9,12,10,10,5,7,5,2,6,8,0,21924
6,6,6,27,15,12,13,14,8,12,12,3,15,13,3,7,18,4,3,3,0,22540
1,12,15,33,13,11,11,14,3,5,21,5,8,13,1,4,12,6,8,4,0,21898
4,16,13,34,8,8,8,13,3,6,21,8,10,13,1,2,10,12,8,2,0,22288
3,32,40,16,20,21,1,9,1,4,23,4,5,4,0,0,3,3,6,5,0,21356
4,10,13,26,15,16,15,7,1,6,14,4,11,9,1,6,24,11,7,0,0,22037
5,4,9,26,20,12,7,16,23,22,10,7,7,7,5,4,8,4,3,1,0,22283
7,14,7,24,24,12,14,9,7,2,10,1,8,5,5,6,25,9,8,3,0,22839
3,19,14,37,10,11,3,8,4,9,18,3,12,11,1,4,14,10,7,2,0,22522
3,3,20,21,17,13,11,9,7,3,24,7,26,8,4,5,5,11,3,0,0,21073
9,11,3,21,7,13,14,7,7,13,12,3,11,12,5,8,23,14,2,5,0,23420
7,8,6,23,15,26,5,13,8,9,17,15,7,12,9,0,7,4,2,7,0,21598
4,8,16,26,20,15,6,17,7,6,11,8,9,16,4,4,10,7,2,5,0,21806
8,12,9,14,31,10,14,9,9,2,18,4,13,9,2,7,16,8,5,1,0,21921
