Entry Name,true_compartments,predicted_compartments
CD20_HUMAN,"Membrane,Extracellular",Membrane
LIRA5_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
INT10_HUMAN,Nucleus,Nucleus
F227A_HUMAN,None provided,None provided
CD019_HUMAN,None provided,None provided
CA147_HUMAN,None provided,None provided
IGSF8_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
MACD1_HUMAN,Nucleus,Nucleus
ZBT10_HUMAN,Nucleus,Nucleus
DJB12_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
FBW12_HUMAN,None provided,None provided
CTL3_HUMAN,Membrane,Membrane
GDF15_HUMAN,"Golgi,Extracellular,Nucleus,Cytoplasm","Golgi,Extracellular,Nucleus,Cytoplasm"
RBMX_HUMAN,"Membrane,Extracellular,Nucleus","Membrane,Extracellular,Nucleus"
GAN_HUMAN,Cytoplasm,Cytoplasm
LRC40_HUMAN,Membrane,None provided
MEPCE_HUMAN,Nucleus,Nucleus
OR6B2_HUMAN,Membrane,Membrane
FNTB_HUMAN,None provided,None provided
FXL15_HUMAN,Cytoplasm,Cytoplasm
GHR_HUMAN,"Membrane,Extracellular,Cytoplasm","Membrane,Extracellular,Cytoplasm"
TYW1B_HUMAN,None provided,None provided
OR1C1_HUMAN,Membrane,Membrane
TM187_HUMAN,Membrane,Membrane
CREG1_HUMAN,Extracellular,Extracellular
ZN474_HUMAN,None provided,None provided
ACSF2_HUMAN,None provided,Membrane
JPH3_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
ENASE_HUMAN,None provided,Membrane
G6PD_HUMAN,"Membrane,Extracellular,Cytoplasm","Membrane,Extracellular,Cytoplasm"
GUF1_HUMAN,Membrane,Membrane
SHC3_HUMAN,Membrane,Membrane
LURA1_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
DIRC2_HUMAN,Membrane,Membrane
NAR4_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
AIMP2_HUMAN,"Membrane,Nucleus","Membrane,Nucleus"
CP4FC_HUMAN,"Membrane,Endoplasmic_Reticulum,Cytoplasm","Membrane,Endoplasmic_Reticulum"
LRC69_HUMAN,None provided,None provided
STK39_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
SNAT_HUMAN,Cytoplasm,Cytoplasm
NXF2_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
CC183_HUMAN,None provided,None provided
LOXL3_HUMAN,"Membrane,Extracellular,Nucleus,Cytoplasm","Membrane,Extracellular,Nucleus,Cytoplasm"
TTLL9_HUMAN,Cytoplasm,None provided
I22R1_HUMAN,Membrane,Membrane
STX7_HUMAN,"Membrane,Extracellular,Cytoplasm",None provided
TSY26_HUMAN,Nucleus,Nucleus
GPC5D_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
OGFD2_HUMAN,None provided,None provided
O10C1_HUMAN,Membrane,Membrane
SARNP_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
HP1B3_HUMAN,Nucleus,None provided
RAB9A_HUMAN,"Golgi,Membrane,Extracellular,Endoplasmic_Reticulum","Golgi,Membrane,Extracellular,Endoplasmic_Reticulum"
S22AV_HUMAN,Membrane,Membrane
CP2AD_HUMAN,"Membrane,Endoplasmic_Reticulum,Cytoplasm","Membrane,Endoplasmic_Reticulum,Cytoplasm"
RINI_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
MDM4_HUMAN,Nucleus,None provided
MTMRA_HUMAN,Cytoplasm,Membrane
ECEL1_HUMAN,Membrane,Membrane
DTWD2_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
RHG08_HUMAN,Cytoplasm,Cytoplasm
KIF23_HUMAN,Nucleus,Nucleus
